sample_id,formula,working_ion,anion_family,target
mp-780494,Li10Mn3Cr3(CoO8)2,Li,oxide,865.4777399391553
mp-1177671,Li3La5Ti8O24,Li,oxide,185.3887164598868
mp-1013922,LiCr2P2O9,Li,phosphate_or_polyanion,66.5547505690055
mp-1094941,MgSb,Mg,other,1798.6052260593624
mp-1234838,Er2MgTl2(WO4)4,Mg,oxide,129.61785193678764
mp-1163922,Y2Ti3(SiO4)3,other,phosphate_or_polyanion,94.80530558621314
mvc-5764,CaMn2O4,Ca,oxide,1004.8104687491372
mp-1220442,Nb6ZnS8,Zn,sulfide,161.8607399148869
mp-764302,RbLiV(PO4)2,Li,phosphate_or_polyanion,244.99296246174524
mp-578618,NaMoO2,Na,oxide,882.3245098588652
mp-765102,LiTi(PO3)4,Li,phosphate_or_polyanion,96.52051013212746
mp-771747,Li2V3FeO8,Li,oxide,593.8867536864267
mp-758078,Li2Co3(SiO4)2,Li,phosphate_or_polyanion,81.56839518026634
mp-755828,Li2V4CrCuO12,Li,oxide,350.32980338261564
mp-768672,Li5Fe2P2(CO7)2,Li,phosphate_or_polyanion,40.485288688107254
mp-771627,Li5Mn3V2O10,Li,oxide,1144.9171575683265
mp-1223171,Li19V12O32,Li,oxide,57.276321428174114
mp-761097,LiV2OF7,Li,halide,149.3453247792623
mp-772402,Li4Mn5Cr3O16,Li,oxide,628.0880746610468
mvc-12822,CaV2(BiO5)2,Ca,oxide,337.54907215669255
mp-758843,Li2Ti2VO6,Li,oxide,128.8147143943881
mp-849220,Li2Fe(SO4)2,Li,sulfide,293.9634827920687
mp-763566,LiP2WO7,Li,phosphate_or_polyanion,306.0814056860658
mp-753172,Li4Cr5O10,Li,oxide,24.06937278024596
mp-1375228,Zn2IrWO6,Zn,oxide,814.3189778518788
mp-758637,Li2CoSiO4,Li,phosphate_or_polyanion,64.90734041608371
mp-766426,LiCoP2O7,Li,phosphate_or_polyanion,83.5700643553278
mp-540570,MgVO3,Mg,oxide,612.3610919751425
mp-1043021,V4ZnO6,Zn,oxide,189.1053597509974
mp-25385,Li(CuO2)2,Li,oxide,155.6292494636502
mp-774319,Li10Ti2Fe3Ni3O16,Li,oxide,878.9739594681521
mp-764810,LiMnF4,Li,halide,640.6846258787567
mp-19573,Mg3V2(SiO4)3,Mg,phosphate_or_polyanion,429.63873151572665
mp-1233042,MgCo6Ag2P6(HO6)4,Mg,phosphate_or_polyanion,95.58241847502876
mp-26131,LiMo(PO3)4,Li,phosphate_or_polyanion,98.6152832663979
mp-1333926,Ca(WO2)2,Ca,oxide,71.74190620088937
mp-770044,K3FePCO7,K,phosphate_or_polyanion,234.60384769752787
mp-579738,Li9Fe3P8O29,Li,phosphate_or_polyanion,230.3244444959495
mp-763900,NaCo2P3O10,Na,phosphate_or_polyanion,241.11120298843412
mp-779337,Li5V6O5F19,Li,halide,487.99105086360566
mp-774096,Li2FeO2,Li,oxide,331.2793573849074
mvc-10962,CaCr4O8,Ca,oxide,527.8289467504401
mp-767267,Li2MnVO4,Li,oxide,581.6784012130822
mp-27085,LiMn4(PO4)3,Li,phosphate_or_polyanion,40.926160207325346
mp-779954,Li3MnOF3,Li,halide,567.1067801057602
mp-1329064,V2ZnS5,Zn,sulfide,261.9472144148429
mp-753190,Li2P2WO8,Li,phosphate_or_polyanion,138.36592335976843
